absolute_path,relative_path,width
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000014.jpg,rabbit_images\range_3\000014.jpg,64
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000011.jpg,rabbit_images\range_3\000011.jpg,67
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000010.jpg,rabbit_images\range_3\000010.jpg,79
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000005.jpg,rabbit_images\range_3\000005.jpg,100
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000022.jpg,rabbit_images\range_3\000022.jpg,100
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000017.jpg,rabbit_images\range_3\000017.jpg,100
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000021.jpg,rabbit_images\range_3\000021.jpg,100
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000024.jpg,rabbit_images\range_3\000024.jpg,110
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000019.jpg,rabbit_images\range_3\000019.jpg,115
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000020.jpg,rabbit_images\range_3\000020.jpg,120
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000026.jpg,rabbit_images\range_3\000026.jpg,141
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000018.jpg,rabbit_images\range_3\000018.jpg,149
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000002.jpg,rabbit_images\range_3\000002.jpg,150
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000013.jpg,rabbit_images\range_3\000013.jpg,150
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000012.jpg,rabbit_images\range_3\000012.jpg,150
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000006.jpg,rabbit_images\range_3\000006.jpg,150
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000004.jpg,rabbit_images\range_3\000004.jpg,160
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000023.jpg,rabbit_images\range_3\000023.jpg,160
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000003.jpg,rabbit_images\range_3\000003.jpg,160
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000001.jpg,rabbit_images\range_3\000001.jpg,170
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000008.jpg,rabbit_images\range_3\000008.jpg,180
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000015.jpg,rabbit_images\range_3\000015.jpg,180
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000007.jpg,rabbit_images\range_3\000007.jpg,180
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000025.jpg,rabbit_images\range_3\000025.jpg,185
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000007.jpg,rabbit_images\range_2\000007.jpg,200
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000020.jpg,rabbit_images\range_2\000020.jpg,236
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000014.jpg,rabbit_images\range_2\000014.jpg,238
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000011.jpg,rabbit_images\range_2\000011.jpg,238
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000016.jpg,rabbit_images\range_3\000016.jpg,238
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_3\000009.jpg,rabbit_images\range_3\000009.jpg,238
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000013.jpg,rabbit_images\range_2\000013.jpg,238
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000012.jpg,rabbit_images\range_2\000012.jpg,250
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000010.jpg,rabbit_images\range_2\000010.jpg,288
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000003.jpg,rabbit_images\range_2\000003.jpg,300
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000018.jpg,rabbit_images\range_2\000018.jpg,320
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000019.jpg,rabbit_images\range_2\000019.jpg,320
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000004.jpg,rabbit_images\range_2\000004.jpg,325
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000002.jpg,rabbit_images\range_2\000002.jpg,345
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000017.jpg,rabbit_images\range_2\000017.jpg,360
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000008.jpg,rabbit_images\range_2\000008.jpg,400
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000015.jpg,rabbit_images\range_2\000015.jpg,426
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000022.jpg,rabbit_images\range_2\000022.jpg,480
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000001.jpg,rabbit_images\range_2\000001.jpg,492
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000009.jpg,rabbit_images\range_2\000009.jpg,565
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000001.jpg,rabbit_images\range_1\000001.jpg,768
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000005.jpg,rabbit_images\range_2\000005.jpg,780
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000002.jpg,rabbit_images\range_1\000002.jpg,828
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000016.jpg,rabbit_images\range_2\000016.jpg,1024
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000013.jpg,rabbit_images\range_1\000013.jpg,1024
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000014.jpg,rabbit_images\range_1\000014.jpg,1080
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000009.jpg,rabbit_images\range_1\000009.jpg,1200
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000006.jpg,rabbit_images\range_2\000006.jpg,1200
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000021.jpg,rabbit_images\range_2\000021.jpg,1200
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000003.jpg,rabbit_images\range_1\000003.jpg,1217
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000012.jpg,rabbit_images\range_1\000012.jpg,1920
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000006.jpg,rabbit_images\range_1\000006.jpg,1920
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000004.jpg,rabbit_images\range_1\000004.jpg,1920
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000010.jpg,rabbit_images\range_1\000010.jpg,1920
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000011.jpg,rabbit_images\range_1\000011.jpg,2000
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000008.jpg,rabbit_images\range_1\000008.jpg,2048
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000007.jpg,rabbit_images\range_1\000007.jpg,2880
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000005.jpg,rabbit_images\range_1\000005.jpg,5312
