filename,absolute_path,relative_path,width,height,file_size_kb
000001.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000001.jpg,cats\000001.jpg,1500,2322,465.79
000002.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000002.jpg,cats\000002.jpg,1000,1000,241.09
000003.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000003.jpg,cats\000003.jpg,1000,1000,196.19
000004.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000004.jpg,cats\000004.jpg,1000,1000,167.52
000005.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000005.jpg,cats\000005.jpg,900,1200,67.6
000006.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000006.jpg,cats\000006.jpg,1001,1600,443.24
000007.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000007.jpg,cats\000007.jpg,1500,1101,2122.86
000008.jpeg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000008.jpeg,cats\000008.jpeg,1080,1186,142.04
000009.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000009.jpg,cats\000009.jpg,1500,1102,1227.22
000010.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000010.jpg,cats\000010.jpg,800,800,141.43
000011.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000011.jpg,cats\000011.jpg,500,500,81.65
000012.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000012.jpg,cats\000012.jpg,700,700,546.52
000013.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000013.jpg,cats\000013.jpg,1000,1000,120.27
000014.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000014.jpg,cats\000014.jpg,2268,4032,547.06
000015.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000015.jpg,cats\000015.jpg,1500,1600,292.44
000016.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000016.jpg,cats\000016.jpg,1200,1200,226.66
000017.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000017.jpg,cats\000017.jpg,1920,1920,294.87
000018.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000018.jpg,cats\000018.jpg,390,260,30.42
000019.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000019.jpg,cats\000019.jpg,700,700,355.59
000020.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000020.jpg,cats\000020.jpg,390,260,21.3
000021.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000021.jpg,cats\000021.jpg,1920,1484,347.45
000022.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000022.jpg,cats\000022.jpg,1500,1101,1364.88
000023.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000023.jpg,cats\000023.jpg,537,724,556.51
000024.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000024.jpg,cats\000024.jpg,640,510,27.97
000025.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000025.jpg,cats\000025.jpg,537,358,277.14
000026.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000026.jpg,cats\000026.jpg,1500,1350,983.7
000027.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000027.jpg,cats\000027.jpg,390,260,41.93
000028.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000028.jpg,cats\000028.jpg,1500,1101,1835.7
000029.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000029.jpg,cats\000029.jpg,1500,1195,511.25
000030.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000030.jpg,cats\000030.jpg,980,720,128.48
000031.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000031.jpg,cats\000031.jpg,1000,1000,1039.27
000032.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000032.jpg,cats\000032.jpg,1080,1920,506.66
000033.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000033.jpg,cats\000033.jpg,1500,1600,343.67
000034.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000034.jpg,cats\000034.jpg,1500,1600,468.89
000035.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000035.jpg,cats\000035.jpg,1000,1000,218.3
000036.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000036.jpg,cats\000036.jpg,394,500,55.56
000037.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000037.jpg,cats\000037.jpg,1500,1338,223.16
000038.jpeg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000038.jpeg,cats\000038.jpeg,720,1280,134.34
000039.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000039.jpg,cats\000039.jpg,1500,1230,318.72
000040.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000040.jpg,cats\000040.jpg,1496,1600,344.71
000041.png,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000041.png,cats\000041.png,1080,1439,1525.51
000042.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000042.jpg,cats\000042.jpg,633,949,410.77
000043.png,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000043.png,cats\000043.png,612,900,133.82
000044.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000044.jpg,cats\000044.jpg,800,800,96.2
000045.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000045.jpg,cats\000045.jpg,1152,2048,1549.13
000046.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000046.jpg,cats\000046.jpg,1100,1100,35.11
000047.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000047.jpg,cats\000047.jpg,1500,1600,555.01
000048.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000048.jpg,cats\000048.jpg,1785,1004,224.51
000049.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000049.jpg,cats\000049.jpg,1500,1600,374.87
000050.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\cats\000050.jpg,cats\000050.jpg,4000,4000,2322.49
