Абсолютный_путь_к_файлу,Относительный_путь_к_файлу,Максимальная_амплитуда
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_046.mp3,audio_files\audio_046.mp3,1.0375394
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_010.mp3,audio_files\audio_010.mp3,0.99780643
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_013.mp3,audio_files\audio_013.mp3,0.99260986
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_018.mp3,audio_files\audio_018.mp3,0.989997
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_038.mp3,audio_files\audio_038.mp3,0.98077524
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_034.mp3,audio_files\audio_034.mp3,0.9249391
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_029.mp3,audio_files\audio_029.mp3,0.90838945
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_021.mp3,audio_files\audio_021.mp3,0.9011817
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_015.mp3,audio_files\audio_015.mp3,0.89795136
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_007.mp3,audio_files\audio_007.mp3,0.8931836
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_003.mp3,audio_files\audio_003.mp3,0.89176166
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_016.mp3,audio_files\audio_016.mp3,0.8906148
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_012.mp3,audio_files\audio_012.mp3,0.8630203
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_011.mp3,audio_files\audio_011.mp3,0.8478546
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_026.mp3,audio_files\audio_026.mp3,0.84303474
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_036.mp3,audio_files\audio_036.mp3,0.8386366
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_035.mp3,audio_files\audio_035.mp3,0.83822155
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_014.mp3,audio_files\audio_014.mp3,0.83676165
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_025.mp3,audio_files\audio_025.mp3,0.8101986
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_023.mp3,audio_files\audio_023.mp3,0.805879
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_028.mp3,audio_files\audio_028.mp3,0.8039713
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_004.mp3,audio_files\audio_004.mp3,0.8005116
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_050.mp3,audio_files\audio_050.mp3,0.7941165
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_019.mp3,audio_files\audio_019.mp3,0.783991
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_043.mp3,audio_files\audio_043.mp3,0.77798283
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_032.mp3,audio_files\audio_032.mp3,0.7651221
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_006.mp3,audio_files\audio_006.mp3,0.76502126
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_008.mp3,audio_files\audio_008.mp3,0.73250246
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_037.mp3,audio_files\audio_037.mp3,0.7314717
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_017.mp3,audio_files\audio_017.mp3,0.710912
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_040.mp3,audio_files\audio_040.mp3,0.7033094
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_020.mp3,audio_files\audio_020.mp3,0.6869904
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_005.mp3,audio_files\audio_005.mp3,0.64001465
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_048.mp3,audio_files\audio_048.mp3,0.6247828
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_047.mp3,audio_files\audio_047.mp3,0.6199629
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_027.mp3,audio_files\audio_027.mp3,0.5987058
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_044.mp3,audio_files\audio_044.mp3,0.59559923
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_033.mp3,audio_files\audio_033.mp3,0.5726383
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_001.mp3,audio_files\audio_001.mp3,0.5714813
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_041.mp3,audio_files\audio_041.mp3,0.5569349
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_030.mp3,audio_files\audio_030.mp3,0.55012697
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_045.mp3,audio_files\audio_045.mp3,0.5332608
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_049.mp3,audio_files\audio_049.mp3,0.5009653
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_024.mp3,audio_files\audio_024.mp3,0.49822146
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_039.mp3,audio_files\audio_039.mp3,0.43868262
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_009.mp3,audio_files\audio_009.mp3,0.31382316
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_042.mp3,audio_files\audio_042.mp3,0.25317127
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_022.mp3,audio_files\audio_022.mp3,0.2283983
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_031.mp3,audio_files\audio_031.mp3,0.20349619
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_002.mp3,audio_files\audio_002.mp3,0.16258739
C:\Users\Дмитрий\Desktop\application-programming-labs-2025\lab\lab_2\audio_files\audio_051.mp3,audio_files\audio_051.mp3,0.07061784
